Original	ANGSD_order	Paper_name
HCKT01Ae1	1	NT1
HCKT02Ae1	2	NT2
HCKT03Ae1	3	NT3
HCKT04Ae1	4	NT4
HCKT05Ae1	5	NT5
HDWB01Ae1	6	HKI1
HDWB02Ae1	7	HKI2
HDWB03Ae1	8	HKI3
HDWB04Ae1	9	HKI4
HDWB05Ae1	10	HKI5
HPK01Ae1	11	LAM1
HPK02Ae1	12	LAM2
HPK03Ae1	13	LAM3
HPK04Ae1	14	LAM4
HPK05Ae1	15	LAM5
HPO01Ae1	16	LAN1
HPO02Ae1	17	LAN2
HPO03Ae1	18	LAN3
HPO04Ae1	19	LAN4
HPO05Ae1	20	LAN5
HST01Ae1	21	NT6
HST02Ae1	22	NT7
HST03Ae1	23	NT8
HTHV01Ae1	24	NT9
HTHV02Ae1	25	NT10
HTHV03Ae1	26	NT11
HTHV04Ae1	27	NT12
HTHV05Ae1	28	NT13
HYSW01Ae1	29	LAM6
HYSW02Ae1	30	LAM7
HYSW03Ae1	31	LAM8
HYSW04Ae1	32	LAM9
HYSW05Ae1	33	LAM10
IT023	34	IT023
IT036	35	IT036
IT037	36	IT037
IT038	37	IT038
ITLI002	38	ITLI002
ITLI003	39	ITLI003
ITLI004	40	ITLI004
ITLI005	41	ITLI005
ITLI006	42	ITLI006
ITLI009	43	ITLI009
ITLI010	44	ITLI010
ITS018019	45	ITS018019
